iter	MultiClass
0	0.8566414576
1	0.7067324435
2	0.6041519449
3	0.530193683
4	0.4739962283
5	0.4277028488
6	0.3926675135
7	0.3657538691
8	0.3443985222
9	0.326322932
10	0.3111960114
11	0.3005152465
12	0.2908156721
13	0.2822900345
14	0.275198886
15	0.269628867
16	0.2657390836
17	0.2611844619
18	0.2576641981
19	0.254491786
20	0.25227936
21	0.250213661
22	0.2482936303
23	0.2461093173
24	0.2440126417
25	0.2427847675
26	0.2411158581
27	0.2398361659
28	0.2389538564
29	0.2375087613
30	0.2368585567
31	0.2356809544
32	0.2349621658
33	0.2339436022
34	0.2333514609
35	0.2325179473
36	0.2316034294
37	0.2310985213
38	0.2301138174
39	0.2293927255
40	0.2286536807
41	0.2280384107
42	0.227551283
43	0.2269733977
44	0.2263918437
45	0.2263538122
46	0.2257366338
47	0.2249695888
48	0.2243840257
49	0.2238285098
50	0.2233196438
51	0.2228727747
52	0.2223917281
53	0.2220608925
54	0.2215707826
55	0.2212791752
56	0.2206658096
57	0.2202381646
58	0.2194960085
59	0.2190754931
60	0.2185314403
61	0.2179635108
62	0.2175611477
63	0.2172461419
64	0.216851006
65	0.2165006924
66	0.2161527287
67	0.2157569928
68	0.2153724119
69	0.2150258893
70	0.2147024964
71	0.2142543914
72	0.213717173
73	0.2130855892
74	0.2127624551
75	0.2122739936
76	0.2120320542
77	0.211486455
78	0.2110832449
79	0.2108411367
80	0.2106548426
81	0.2103894668
82	0.2101065045
83	0.2097595729
84	0.2094885171
85	0.2090832767
86	0.2087114161
87	0.2084165237
88	0.2081352713
89	0.2077619909
90	0.207347242
91	0.2069539375
92	0.2066424327
93	0.2063108543
94	0.2060109249
95	0.2056760877
96	0.2053778941
97	0.2051693479
98	0.2047926521
99	0.2043642635
100	0.2041481615
101	0.2038616971
102	0.2035823732
103	0.2030598238
104	0.2028816651
105	0.2025559206
106	0.2019962561
107	0.2017559202
108	0.2015110238
109	0.2013136523
110	0.2010525497
111	0.2008767901
112	0.2005967741
113	0.2003832664
114	0.2000673558
115	0.1998648135
116	0.1995396
117	0.1993140687
118	0.1991353744
119	0.199001151
120	0.1987029532
121	0.1983905166
122	0.1981630669
123	0.1979825694
124	0.1977273726
125	0.197423894
126	0.1971956948
127	0.1969305697
128	0.1966234252
129	0.1963689636
130	0.1962229094
131	0.195991331
132	0.1956297821
133	0.1952846268
134	0.1950002342
135	0.1946809059
136	0.1942640185
137	0.1940443864
138	0.1936736098
139	0.1933157174
140	0.1931189629
141	0.1928858988
142	0.1927114298
143	0.1925001412
144	0.1921691886
145	0.1920088489
146	0.1917378755
147	0.1915405677
148	0.1912630991
149	0.1910097662
150	0.1907514617
151	0.190440803
152	0.1902877047
153	0.1900260936
154	0.1898243974
155	0.1894885908
156	0.189287728
157	0.1889865044
158	0.1887525131
159	0.1885346716
160	0.1883395725
161	0.1880433977
162	0.1877374799
163	0.1874172047
164	0.1870312528
165	0.1868497239
166	0.1865130452
167	0.1863686849
168	0.1861022607
169	0.1859009637
