iter	Passed	Remaining
0	106	63133
1	210	62147
2	315	61871
3	424	62348
4	535	62834
5	647	63192
6	757	63326
7	860	62797
8	971	62921
9	1077	62687
10	1179	62323
11	1288	62282
12	1398	62299
13	1505	62136
14	1615	62151
15	1725	62120
16	1832	61972
17	1934	61677
18	2040	61524
19	2145	61354
20	2252	61243
21	2356	61056
22	2464	60967
23	2570	60840
24	2684	60888
25	2792	60780
26	2900	60697
27	3004	60524
28	3115	60477
29	3225	60422
30	3339	60432
31	3483	60958
32	3598	60949
33	3715	60980
34	3828	60932
35	3938	60821
36	4047	60711
37	4161	60669
38	4276	60644
39	4387	60552
40	4492	60380
41	4603	60288
42	4710	60140
43	4816	59988
44	4927	59893
45	4963	58913
46	5069	58779
47	5179	58704
48	5291	58640
49	5394	58474
50	5502	58373
51	5614	58307
52	5722	58199
53	5831	58099
54	5936	57962
55	6039	57805
56	6158	57802
57	6266	57698
58	6383	57667
59	6486	57514
60	6600	57456
61	6710	57363
62	6818	57251
63	6932	57190
64	7044	57116
65	7177	57205
66	7286	57093
67	7394	56980
68	7504	56884
69	7622	56843
70	7736	56773
71	7846	56670
72	7955	56563
73	8069	56483
74	8173	56344
75	8286	56259
76	8393	56135
77	8498	55999
78	8608	55897
79	8713	55766
80	8817	55627
81	8921	55488
82	9027	55361
83	9129	55208
84	9230	55056
85	9339	54953
86	9441	54802
87	9543	54659
88	9653	54559
89	9768	54486
90	9878	54386
91	9984	54264
92	10085	54117
93	10190	53987
94	10295	53861
95	10403	53752
96	10515	53662
97	10623	53550
98	10734	53454
99	10840	53334
100	10946	53216
101	11055	53107
102	11159	52982
103	11273	52900
104	11375	52759
105	11479	52630
106	11587	52522
107	11695	52413
108	11802	52298
109	11911	52193
110	12022	52097
111	12128	51978
112	12230	51842
113	12334	51718
114	12438	51592
115	12539	51455
116	12645	51336
117	12750	51218
118	12860	51119
119	12968	51007
120	13077	50904
121	13183	50789
122	13292	50683
123	13425	50668
124	13530	50548
125	13631	50415
126	13737	50298
127	13846	50195
128	13955	50089
129	14064	49982
130	14176	49889
131	14295	49815
132	14407	49720
133	14511	49599
134	14615	49476
135	14722	49364
136	14830	49254
137	14953	49193
138	15059	49080
139	15168	48973
140	15269	48839
141	15373	48717
142	15478	48601
143	15588	48496
144	15692	48376
145	15800	48267
146	15909	48161
147	16015	48047
148	16121	47930
149	16226	47813
150	16334	47705
151	16445	47604
152	16556	47504
153	16661	47388
154	16771	47283
155	16881	47182
156	16996	47092
157	17116	47017
158	17230	46922
159	17341	46822
160	17445	46700
161	17551	46588
162	17665	46493
163	17772	46382
164	17885	46286
165	17999	46190
166	18109	46088
167	18221	45987
168	18333	45889
169	18444	45784
170	18547	45662
171	18659	45563
172	18769	45460
173	18877	45348
174	19008	45295
175	19131	45219
176	19240	45112
177	19356	45020
178	19476	44938
179	19595	44851
180	19709	44754
181	19823	44658
182	19940	44566
183	20063	44488
184	20178	44393
185	20283	44274
186	20390	44161
187	20499	44052
188	20610	43946
189	20725	43851
190	20850	43775
191	20974	43696
192	21107	43636
193	21234	43563
194	21368	43504
195	21477	43393
196	21588	43285
197	21701	43184
198	21810	43073
199	21924	42972
200	22033	42861
201	22136	42739
202	22242	42623
203	22357	42522
204	22471	42421
205	22584	42318
206	22693	42206
207	22808	42107
208	22925	42011
209	23038	41907
210	23148	41798
211	23257	41688
212	23370	41583
213	23485	41484
214	23591	41367
215	23697	41251
216	23806	41140
217	23921	41039
218	24032	40932
219	24143	40825
220	24258	40723
221	24372	40620
222	24485	40516
223	24588	40395
224	24690	40272
225	24798	40161
226	24906	40047
227	25006	39922
228	25118	39816
229	25228	39707
230	25338	39598
231	25453	39497
232	25573	39403
233	25695	39311
234	25819	39223
235	25940	39130
236	26065	39043
237	26186	38949
238	26304	38851
239	26411	38736
240	26521	38626
241	26632	38518
242	26745	38412
243	26856	38303
244	26973	38202
245	27094	38109
246	27211	38007
247	27320	37896
248	27427	37781
249	27539	37673
250	27647	37560
251	27753	37445
252	27855	37323
253	27960	37206
254	28083	37113
255	28193	37003
256	28306	36898
257	28413	36783
258	28518	36666
259	28630	36559
260	28741	36450
261	28848	36335
262	28958	36225
263	29074	36122
264	29182	36009
265	29290	35897
266	29397	35783
267	29508	35674
268	29618	35563
269	29728	35454
270	29830	35334
271	29937	35220
272	30050	35114
273	30162	35005
274	30342	34976
275	30452	34865
276	30569	34763
277	30686	34660
278	30799	34553
279	30912	34445
280	31022	34334
281	31138	34230
282	31246	34117
283	31355	34004
284	31465	33894
285	31571	33779
286	31674	33660
287	31784	33550
288	31887	33431
289	31996	33320
290	32110	33213
291	32223	33106
292	32327	32989
293	32435	32876
294	32539	32759
295	32646	32646
296	32756	32536
297	32868	32427
298	32975	32313
299	33086	32204
300	33198	32095
301	33308	31985
302	33418	31873
303	33527	31763
304	33632	31647
305	33736	31531
306	33844	31419
307	33953	31307
308	34060	31194
309	34178	31091
310	34285	30978
311	34390	30863
312	34498	30750
313	34609	30641
314	34718	30529
315	34826	30417
316	34941	30312
317	35068	30216
318	35195	30120
319	35329	30030
320	35459	29936
321	35628	29874
322	35743	29767
323	35859	29661
324	35967	29548
325	36080	29440
326	36201	29337
327	36316	29230
328	36436	29127
329	36553	29021
330	36666	28912
331	36769	28795
332	36875	28680
333	36987	28570
334	37087	28452
335	37198	28341
336	37307	28229
337	37419	28119
338	37522	28003
339	37624	27886
340	37729	27771
341	37832	27655
342	37950	27550
343	38067	27444
344	38177	27332
345	38294	27226
346	38400	27112
347	38509	27001
348	38611	26884
349	38713	26767
350	38819	26654
351	38929	26542
352	39038	26431
353	39140	26314
354	39245	26200
355	39356	26090
356	39477	25986
357	39586	25875
358	39698	25765
359	39814	25658
